fecha,anio,mes,hora,dia_semana,codigo_atc,cantidad_vendida,rejection_reason
2015-05-30,2015,5,276,Saturday,M01AB,14.0,Statistical Outlier (Z-Score > 3)
2015-07-28,2015,7,276,Tuesday,M01AB,14.18,Statistical Outlier (Z-Score > 3)
2016-02-02,2016,2,276,Tuesday,M01AB,14.33,Statistical Outlier (Z-Score > 3)
2016-04-23,2016,4,276,Saturday,M01AB,13.66,Statistical Outlier (Z-Score > 3)
2016-09-28,2016,9,276,Wednesday,M01AB,13.68,Statistical Outlier (Z-Score > 3)
2016-10-02,2016,10,276,Sunday,M01AB,17.0,Statistical Outlier (Z-Score > 3)
2016-10-29,2016,10,276,Saturday,M01AB,15.33,Statistical Outlier (Z-Score > 3)
2017-08-31,2017,8,276,Thursday,M01AB,16.68,Statistical Outlier (Z-Score > 3)
2017-11-21,2017,11,276,Tuesday,M01AB,13.33,Statistical Outlier (Z-Score > 3)
2017-12-31,2017,12,276,Sunday,M01AB,13.83,Statistical Outlier (Z-Score > 3)
2018-04-07,2018,4,276,Saturday,M01AB,16.18,Statistical Outlier (Z-Score > 3)
2018-11-04,2018,11,276,Sunday,M01AB,13.99,Statistical Outlier (Z-Score > 3)
2019-02-02,2019,2,276,Saturday,M01AB,13.34,Statistical Outlier (Z-Score > 3)
2019-03-11,2019,3,276,Monday,M01AB,14.66,Statistical Outlier (Z-Score > 3)
2019-04-25,2019,4,276,Thursday,M01AB,14.01,Statistical Outlier (Z-Score > 3)
2019-04-27,2019,4,276,Saturday,M01AB,17.34,Statistical Outlier (Z-Score > 3)
2019-08-24,2019,8,276,Saturday,M01AB,13.84,Statistical Outlier (Z-Score > 3)
2014-02-10,2014,2,276,Monday,M01AE,10.33,Statistical Outlier (Z-Score > 3)
2014-11-07,2014,11,276,Friday,M01AE,10.34,Statistical Outlier (Z-Score > 3)
2014-12-28,2014,12,276,Sunday,M01AE,10.76,Statistical Outlier (Z-Score > 3)
2015-08-29,2015,8,276,Saturday,M01AE,10.34,Statistical Outlier (Z-Score > 3)
2015-11-15,2015,11,276,Sunday,M01AE,11.99,Statistical Outlier (Z-Score > 3)
2015-12-10,2015,12,276,Thursday,M01AE,10.69,Statistical Outlier (Z-Score > 3)
2016-02-06,2016,2,276,Saturday,M01AE,10.33,Statistical Outlier (Z-Score > 3)
2016-03-02,2016,3,276,Wednesday,M01AE,10.396,Statistical Outlier (Z-Score > 3)
2016-03-10,2016,3,276,Thursday,M01AE,10.33,Statistical Outlier (Z-Score > 3)
2016-03-16,2016,3,276,Wednesday,M01AE,13.34,Statistical Outlier (Z-Score > 3)
2016-04-30,2016,4,276,Saturday,M01AE,10.32,Statistical Outlier (Z-Score > 3)
2016-05-08,2016,5,276,Sunday,M01AE,10.66,Statistical Outlier (Z-Score > 3)
2016-09-10,2016,9,276,Saturday,M01AE,11.31,Statistical Outlier (Z-Score > 3)
2016-10-30,2016,10,276,Sunday,M01AE,10.32,Statistical Outlier (Z-Score > 3)
2016-11-13,2016,11,276,Sunday,M01AE,11.32,Statistical Outlier (Z-Score > 3)
2017-02-05,2017,2,276,Sunday,M01AE,10.725,Statistical Outlier (Z-Score > 3)
2017-02-12,2017,2,276,Sunday,M01AE,10.67,Statistical Outlier (Z-Score > 3)
2018-05-06,2018,5,276,Sunday,M01AE,10.66,Statistical Outlier (Z-Score > 3)
2019-01-20,2019,1,276,Sunday,M01AE,14.463,Statistical Outlier (Z-Score > 3)
2019-01-27,2019,1,276,Sunday,M01AE,11.745,Statistical Outlier (Z-Score > 3)
2019-01-31,2019,1,276,Thursday,M01AE,11.505,Statistical Outlier (Z-Score > 3)
2019-02-02,2019,2,276,Saturday,M01AE,12.706,Statistical Outlier (Z-Score > 3)
2019-02-05,2019,2,276,Tuesday,M01AE,10.386,Statistical Outlier (Z-Score > 3)
2019-03-30,2019,3,276,Saturday,M01AE,10.68,Statistical Outlier (Z-Score > 3)
2019-10-06,2019,10,276,Sunday,M01AE,11.69,Statistical Outlier (Z-Score > 3)
2014-01-14,2014,1,276,Tuesday,N02BA,12.3,Statistical Outlier (Z-Score > 3)
2014-02-07,2014,2,276,Friday,N02BA,11.7,Statistical Outlier (Z-Score > 3)
2014-02-08,2014,2,276,Saturday,N02BA,14.4,Statistical Outlier (Z-Score > 3)
2014-02-11,2014,2,276,Tuesday,N02BA,13.3,Statistical Outlier (Z-Score > 3)
2014-02-17,2014,2,276,Monday,N02BA,12.7,Statistical Outlier (Z-Score > 3)
2014-02-25,2014,2,276,Tuesday,N02BA,11.2,Statistical Outlier (Z-Score > 3)
2014-03-01,2014,3,276,Saturday,N02BA,11.355,Statistical Outlier (Z-Score > 3)
2014-06-26,2014,6,276,Thursday,N02BA,11.3,Statistical Outlier (Z-Score > 3)
2014-11-28,2014,11,276,Friday,N02BA,15.0,Statistical Outlier (Z-Score > 3)
2015-03-31,2015,3,276,Tuesday,N02BA,11.2,Statistical Outlier (Z-Score > 3)
2015-07-30,2015,7,276,Thursday,N02BA,14.0,Statistical Outlier (Z-Score > 3)
2015-12-10,2015,12,276,Thursday,N02BA,16.0,Statistical Outlier (Z-Score > 3)
2016-01-10,2016,1,276,Sunday,N02BA,12.0,Statistical Outlier (Z-Score > 3)
2016-01-12,2016,1,276,Tuesday,N02BA,12.0,Statistical Outlier (Z-Score > 3)
2016-01-24,2016,1,276,Sunday,N02BA,11.3,Statistical Outlier (Z-Score > 3)
2016-02-03,2016,2,276,Wednesday,N02BA,11.5,Statistical Outlier (Z-Score > 3)
2016-03-27,2016,3,276,Sunday,N02BA,13.7,Statistical Outlier (Z-Score > 3)
2016-10-11,2016,10,276,Tuesday,N02BA,11.65,Statistical Outlier (Z-Score > 3)
2017-01-10,2017,1,276,Tuesday,N02BA,13.29166667,Statistical Outlier (Z-Score > 3)
2019-02-15,2019,2,276,Friday,N02BA,12.5,Statistical Outlier (Z-Score > 3)
2014-12-28,2014,12,276,Sunday,N02BE,80.4,Statistical Outlier (Z-Score > 3)
2015-11-01,2015,11,276,Sunday,N02BE,80.4,Statistical Outlier (Z-Score > 3)
2015-12-26,2015,12,276,Saturday,N02BE,87.2,Statistical Outlier (Z-Score > 3)
2016-01-09,2016,1,276,Saturday,N02BE,88.3,Statistical Outlier (Z-Score > 3)
2016-01-31,2016,1,276,Sunday,N02BE,78.9,Statistical Outlier (Z-Score > 3)
2016-02-07,2016,2,276,Sunday,N02BE,88.2,Statistical Outlier (Z-Score > 3)
2016-03-06,2016,3,276,Sunday,N02BE,79.9,Statistical Outlier (Z-Score > 3)
2016-10-02,2016,10,276,Sunday,N02BE,80.5,Statistical Outlier (Z-Score > 3)
2016-10-05,2016,10,276,Wednesday,N02BE,78.2,Statistical Outlier (Z-Score > 3)
2016-10-09,2016,10,276,Sunday,N02BE,88.4,Statistical Outlier (Z-Score > 3)
2016-10-16,2016,10,276,Sunday,N02BE,89.3,Statistical Outlier (Z-Score > 3)
2016-10-29,2016,10,276,Saturday,N02BE,78.5,Statistical Outlier (Z-Score > 3)
2016-12-24,2016,12,276,Saturday,N02BE,82.0,Statistical Outlier (Z-Score > 3)
2016-12-25,2016,12,276,Sunday,N02BE,79.8,Statistical Outlier (Z-Score > 3)
2016-12-29,2016,12,276,Thursday,N02BE,81.2,Statistical Outlier (Z-Score > 3)
2016-12-30,2016,12,276,Friday,N02BE,161.0,Statistical Outlier (Z-Score > 3)
2016-12-31,2016,12,276,Saturday,N02BE,108.7,Statistical Outlier (Z-Score > 3)
2017-10-08,2017,10,276,Sunday,N02BE,77.1,Statistical Outlier (Z-Score > 3)
2019-01-19,2019,1,276,Saturday,N02BE,77.4,Statistical Outlier (Z-Score > 3)
2019-01-20,2019,1,276,Sunday,N02BE,93.05,Statistical Outlier (Z-Score > 3)
2019-01-26,2019,1,276,Saturday,N02BE,97.8,Statistical Outlier (Z-Score > 3)
2019-01-27,2019,1,276,Sunday,N02BE,100.1,Statistical Outlier (Z-Score > 3)
2014-07-10,2014,7,276,Thursday,N05B,32.0,Statistical Outlier (Z-Score > 3)
2014-08-16,2014,8,276,Saturday,N05B,27.0,Statistical Outlier (Z-Score > 3)
2014-09-06,2014,9,276,Saturday,N05B,30.0,Statistical Outlier (Z-Score > 3)
2014-11-07,2014,11,276,Friday,N05B,32.0,Statistical Outlier (Z-Score > 3)
2014-12-02,2014,12,276,Tuesday,N05B,26.0,Statistical Outlier (Z-Score > 3)
2014-12-10,2014,12,276,Wednesday,N05B,28.0,Statistical Outlier (Z-Score > 3)
2014-12-22,2014,12,276,Monday,N05B,43.0,Statistical Outlier (Z-Score > 3)
2014-12-27,2014,12,276,Saturday,N05B,26.0,Statistical Outlier (Z-Score > 3)
2015-01-09,2015,1,276,Friday,N05B,33.0,Statistical Outlier (Z-Score > 3)
2015-01-24,2015,1,276,Saturday,N05B,31.0,Statistical Outlier (Z-Score > 3)
2015-12-25,2015,12,276,Friday,N05B,28.0,Statistical Outlier (Z-Score > 3)
2016-01-20,2016,1,276,Wednesday,N05B,29.0,Statistical Outlier (Z-Score > 3)
2016-02-10,2016,2,276,Wednesday,N05B,29.0,Statistical Outlier (Z-Score > 3)
2016-04-27,2016,4,276,Wednesday,N05B,27.0,Statistical Outlier (Z-Score > 3)
2016-08-06,2016,8,276,Saturday,N05B,33.0,Statistical Outlier (Z-Score > 3)
2016-08-08,2016,8,276,Monday,N05B,36.0,Statistical Outlier (Z-Score > 3)
2016-08-09,2016,8,276,Tuesday,N05B,26.0,Statistical Outlier (Z-Score > 3)
2016-09-15,2016,9,276,Thursday,N05B,31.0,Statistical Outlier (Z-Score > 3)
2016-10-11,2016,10,276,Tuesday,N05B,54.83333333,Statistical Outlier (Z-Score > 3)
2016-11-15,2016,11,276,Tuesday,N05B,27.0,Statistical Outlier (Z-Score > 3)
2016-12-12,2016,12,276,Monday,N05B,28.33333333,Statistical Outlier (Z-Score > 3)
2018-03-01,2018,3,276,Thursday,N05B,26.0,Statistical Outlier (Z-Score > 3)
2018-03-07,2018,3,276,Wednesday,N05B,31.0,Statistical Outlier (Z-Score > 3)
2018-03-30,2018,3,276,Friday,N05B,33.0,Statistical Outlier (Z-Score > 3)
2018-04-02,2018,4,276,Monday,N05B,31.0,Statistical Outlier (Z-Score > 3)
2014-01-18,2014,1,276,Saturday,N05C,4.0,Statistical Outlier (Z-Score > 3)
2014-01-28,2014,1,276,Tuesday,N05C,5.0,Statistical Outlier (Z-Score > 3)
2014-02-14,2014,2,276,Friday,N05C,4.0,Statistical Outlier (Z-Score > 3)
2014-06-09,2014,6,276,Monday,N05C,4.0,Statistical Outlier (Z-Score > 3)
2014-07-09,2014,7,276,Wednesday,N05C,4.0,Statistical Outlier (Z-Score > 3)
2014-08-03,2014,8,276,Sunday,N05C,5.0,Statistical Outlier (Z-Score > 3)
2015-03-01,2015,3,276,Sunday,N05C,4.0,Statistical Outlier (Z-Score > 3)
2015-06-02,2015,6,276,Tuesday,N05C,4.0,Statistical Outlier (Z-Score > 3)
2015-12-02,2015,12,276,Wednesday,N05C,4.0,Statistical Outlier (Z-Score > 3)
2015-12-18,2015,12,276,Friday,N05C,4.0,Statistical Outlier (Z-Score > 3)
2016-01-21,2016,1,276,Thursday,N05C,4.0,Statistical Outlier (Z-Score > 3)
2016-01-27,2016,1,276,Wednesday,N05C,5.0,Statistical Outlier (Z-Score > 3)
2016-02-03,2016,2,276,Wednesday,N05C,5.0,Statistical Outlier (Z-Score > 3)
2016-04-20,2016,4,276,Wednesday,N05C,5.0,Statistical Outlier (Z-Score > 3)
2016-05-27,2016,5,276,Friday,N05C,7.0,Statistical Outlier (Z-Score > 3)
2016-06-28,2016,6,276,Tuesday,N05C,5.0,Statistical Outlier (Z-Score > 3)
2016-06-29,2016,6,276,Wednesday,N05C,7.0,Statistical Outlier (Z-Score > 3)
2016-08-12,2016,8,276,Friday,N05C,4.0,Statistical Outlier (Z-Score > 3)
2016-08-21,2016,8,276,Sunday,N05C,4.0,Statistical Outlier (Z-Score > 3)
2016-11-15,2016,11,276,Tuesday,N05C,5.0,Statistical Outlier (Z-Score > 3)
2016-11-25,2016,11,276,Friday,N05C,4.0,Statistical Outlier (Z-Score > 3)
2017-01-30,2017,1,276,Monday,N05C,4.166666667,Statistical Outlier (Z-Score > 3)
2017-03-12,2017,3,276,Sunday,N05C,4.0,Statistical Outlier (Z-Score > 3)
2017-05-12,2017,5,276,Friday,N05C,9.0,Statistical Outlier (Z-Score > 3)
2017-05-31,2017,5,276,Wednesday,N05C,4.0,Statistical Outlier (Z-Score > 3)
2017-09-29,2017,9,276,Friday,N05C,6.0,Statistical Outlier (Z-Score > 3)
2018-01-09,2018,1,276,Tuesday,N05C,6.0,Statistical Outlier (Z-Score > 3)
2018-02-27,2018,2,276,Tuesday,N05C,9.0,Statistical Outlier (Z-Score > 3)
2018-03-06,2018,3,276,Tuesday,N05C,8.0,Statistical Outlier (Z-Score > 3)
2018-03-07,2018,3,276,Wednesday,N05C,5.0,Statistical Outlier (Z-Score > 3)
2018-03-26,2018,3,276,Monday,N05C,4.0,Statistical Outlier (Z-Score > 3)
2018-03-30,2018,3,276,Friday,N05C,8.0,Statistical Outlier (Z-Score > 3)
2018-04-03,2018,4,276,Tuesday,N05C,6.0,Statistical Outlier (Z-Score > 3)
2018-05-19,2018,5,276,Saturday,N05C,5.0,Statistical Outlier (Z-Score > 3)
2018-07-12,2018,7,276,Thursday,N05C,4.0,Statistical Outlier (Z-Score > 3)
2018-10-08,2018,10,276,Monday,N05C,5.0,Statistical Outlier (Z-Score > 3)
2018-12-28,2018,12,276,Friday,N05C,6.0,Statistical Outlier (Z-Score > 3)
2019-01-24,2019,1,276,Thursday,N05C,4.0,Statistical Outlier (Z-Score > 3)
2019-05-20,2019,5,276,Monday,N05C,4.0,Statistical Outlier (Z-Score > 3)
2019-06-09,2019,6,276,Sunday,N05C,4.0,Statistical Outlier (Z-Score > 3)
2019-06-20,2019,6,276,Thursday,N05C,4.0,Statistical Outlier (Z-Score > 3)
2019-07-09,2019,7,276,Tuesday,N05C,4.0,Statistical Outlier (Z-Score > 3)
2019-07-30,2019,7,276,Tuesday,N05C,4.0,Statistical Outlier (Z-Score > 3)
